data1,data2,data3,data4,data5,data6,data7,data8,data9,data10
-830.8947368,506.2105263,-50.47368421,-87.26315789,-170.2105263,208.3157895,7.684210526,134.7894737,-718.5789474,-1248.105263
-864.8947368,438.2105263,2.526315789,-30.26315789,-44.21052632,-192.6842105,-90.31578947,-55.21052632,1148.421053,-430.1052632
-898.8947368,377.2105263,-132.4736842,-80.26315789,-144.2105263,-106.6842105,-54.31578947,-101.2105263,1585.421053,-490.1052632
-648.8947368,-3.789473684,-109.4736842,-52.26315789,-305.2105263,-92.68421053,-69.31578947,99.78947368,-461.5789474,-277.1052632
-648.8947368,-97.78947368,-282.4736842,-17.26315789,-132.2105263,-56.68421053,-89.31578947,101.7894737,-494.5789474,-428.1052632
-37.89473684,64.21052632,-148.4736842,-95.26315789,149.7894737,121.3157895,-45.31578947,-1.210526316,-174.5789474,-310.1052632
-394.8947368,7.210526316,-185.4736842,-22.26315789,-25.21052632,56.31578947,8.684210526,90.78947368,-210.5789474,-202.1052632
-190.8947368,-45.78947368,-214.4736842,-93.26315789,-120.2105263,-28.68421053,13.68421053,-68.21052632,-99.57894737,-2.105263158
-102.8947368,-153.7894737,-72.47368421,-32.26315789,4.789473684,-90.68421053,-39.31578947,-88.21052632,-147.5789474,-59.10526316
-80.89473684,-224.7894737,-135.4736842,-91.26315789,-41.21052632,-11.68421053,-77.31578947,-154.2105263,-111.5789474,-183.1052632
482.1052632,41.21052632,-36.47368421,-103.2631579,208.7894737,-11.68421053,-98.31578947,-6.210526316,-92.57894737,-152.1052632
292.1052632,-91.78947368,-3.473684211,-23.26315789,143.7894737,57.31578947,-8.315789474,41.78947368,32.42105263,28.89473684
571.1052632,8.210526316,-22.47368421,-19.26315789,141.7894737,-48.68421053,-42.31578947,-16.21052632,162.4210526,151.8947368
218.1052632,-19.78947368,22.52631579,-95.26315789,108.7894737,-189.6842105,-93.31578947,94.78947368,-123.5789474,-81.10526316
-287.8947368,2.210526316,-86.47368421,-38.26315789,-109.2105263,14.31578947,-65.31578947,22.78947368,-44.57894737,-78.10526316
-93.89473684,-231.7894737,-101.4736842,-79.26315789,-233.2105263,-139.6842105,-77.31578947,8.789473684,-145.5789474,-24.10526316
-45.89473684,279.2105263,109.5263158,12.73684211,-179.2105263,-63.68421053,0.684210526,18.78947368,87.42105263,-20.10526316
