Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole8,Hole9,Hole10,Hole11
110.4210526,-7.842105263,-107,-48.26315789,-121.1578947,312.5789474,83.68421053,249.1052632,982.8421053,-42.84210526
-311.5789474,-29.84210526,-116,-102.2631579,-109.1578947,-259.4210526,33.68421053,192.1052632,700.8421053,96.15789474
-138.5789474,59.15789474,-9,-205.2631579,-12.15789474,119.5789474,-2.315789474,157.1052632,600.8421053,-178.8421053
-147.5789474,-1.842105263,-38,-57.26315789,109.8421053,-66.42105263,58.68421053,95.10526316,188.8421053,457.1578947
96.42105263,128.1578947,-141,-83.26315789,15.84210526,-66.42105263,39.68421053,35.10526316,74.84210526,38.15789474
24.42105263,-93.84210526,-210,-137.2631579,-93.15789474,-79.42105263,-50.31578947,-0.894736842,54.84210526,-88.84210526
59.42105263,-8.842105263,-166,-65.26315789,48.84210526,-162.4210526,35.68421053,33.10526316,-38.15789474,-9.842105263
-15.57894737,123.1578947,-137,-107.2631579,20.84210526,-114.4210526,-60.31578947,43.10526316,-6.157894737,17.15789474
-13.57894737,74.15789474,-172,-121.2631579,-85.15789474,-104.4210526,36.68421053,54.10526316,180.8421053,223.1578947
-34.57894737,-163.8421053,174,-104.2631579,-109.1578947,-132.4210526,-23.31578947,46.10526316,-26.15789474,-31.84210526
69.42105263,-4.842105263,-61,-127.2631579,23.84210526,-131.4210526,9.684210526,69.10526316,-2.157894737,62.15789474
6.421052632,-99.84210526,257,-20.26315789,35.84210526,24.57894737,125.6842105,228.1052632,237.8421053,42.15789474
-100.5789474,32.15789474,368,-56.26315789,18.84210526,-60.42105263,66.68421053,69.10526316,28.84210526,10.15789474
-187.5789474,-146.8421053,-19,110.7368421,-149.1578947,119.5789474,-33.31578947,13.10526316,-52.15789474,-70.84210526
62.42105263,55.15789474,-17,119.7368421,15.84210526,294.5789474,11.68421053,11.10526316,-49.15789474,30.15789474
80.42105263,42.15789474,-97,-39.26315789,-48.15789474,-12.42105263,-23.31578947,-17.89473684,15.84210526,59.15789474
27.42105263,-34.84210526,53,22.73684211,-2.157894737,144.5789474,98.68421053,-116.8947368,-35.15789474,28.15789474
110.4210526,66.15789474,-6,104.7368421,80.84210526,37.57894737,-73.31578947,-26.89473684,-4.157894737,-72.84210526
-4.578947368,20.15789474,19,14.73684211,146.8421053,51.57894737,6.684210526,18.10526316,-23.15789474,-64.84210526
-12.57894737,50.15789474,0,-111.2631579,98.84210526,-71.42105263,-50.31578947,-139.8947368,-167.1578947,-131.8421053
34.42105263,-17.84210526,34,158.7368421,52.84210526,109.5789474,-112.3157895,-49.89473684,48.84210526,-59.84210526
18.42105263,33.15789474,48,79.73684211,-7.157894737,-26.42105263,-8.315789474,-67.89473684,-91.15789474,-40.84210526
-84.57894737,53.15789474,-40,39.73684211,-20.15789474,98.57894737,-56.31578947,-103.8947368,-26.15789474,-2.842105263
-39.57894737,21.15789474,-28,238.7368421,-29.15789474,14.57894737,99.68421053,-60.89473684,-46.15789474,102.1578947
-92.57894737,16.15789474,95,95.73684211,25.84210526,20.57894737,-84.31578947,-27.89473684,-97.15789474,-222.8421053
92.42105263,159.1578947,73,511.7368421,76.84210526,60.57894737,159.6842105,191.1052632,94.84210526,154.1578947
-19.57894737,-89.84210526,255,60.73684211,2.842105263,63.57894737,-24.31578947,-117.8947368,-153.1578947,2.157894737
-45.57894737,-20.84210526,253,221.7368421,118.8421053,89.57894737,120.6842105,66.10526316,-27.15789474,129.1578947
-7.578947368,-126.8421053,464,224.7368421,-13.15789474,-16.42105263,189.6842105,-19.89473684,-25.15789474,61.15789474
-98.57894737,-119.8421053,242,210.7368421,-25.15789474,-89.42105263,57.68421053,41.10526316,-57.15789474,53.15789474
37.42105263,65.15789474,268,271.7368421,33.84210526,24.57894737,15.68421053,-86.89473684,-76.15789474,28.15789474
32.42105263,-32.84210526,64,267.7368421,45.84210526,115.5789474,49.68421053,-19.89473684,-85.15789474,-8.842105263
96.42105263,40.15789474,-80,149.7368421,45.84210526,46.57894737,49.68421053,-36.89473684,-22.15789474,49.15789474
13.42105263,9.157894737,38,329.7368421,111.8421053,29.57894737,74.68421053,114.1052632,152.8421053,123.1578947
-38.57894737,74.15789474,170,381.7368421,38.84210526,115.5789474,71.68421053,234.1052632,-29.15789474,67.15789474
8.421052632,-81.84210526,227,433.7368421,-73.15789474,6.578947368,231.6842105,190.1052632,-1.157894737,184.1578947
-98.57894737,-32.84210526,600,590.7368421,69.84210526,26.57894737,300.6842105,148.1052632,95.84210526,191.1578947
42.42105263,-46.84210526,573,511.7368421,155.8421053,226.5789474,244.6842105,198.1052632,53.84210526,113.1578947
23.42105263,-63.84210526,699,693.7368421,92.84210526,89.57894737,270.6842105,381.1052632,38.84210526,231.1578947
196.4210526,100.1578947,646,635.7368421,199.8421053,237.5789474,351.6842105,417.1052632,192.8421053,139.1578947
247.4210526,183.1578947,788,984.7368421,231.8421053,84.57894737,517.6842105,689.1052632,211.8421053,284.1578947
343.4210526,182.1578947,389,1043.736842,378.8421053,179.5789474,655.6842105,770.1052632,337.8421053,267.1578947
482.4210526,115.1578947,711,1120.736842,591.8421053,130.5789474,836.6842105,1142.105263,385.8421053,597.1578947
464.4210526,265.1578947,597,1279.736842,730.8421053,165.5789474,852.6842105,1185.105263,484.8421053,409.1578947
490.4210526,352.1578947,602,1410.736842,916.8421053,204.5789474,1135.684211,1324.105263,701.8421053,598.1578947
538.4210526,215.1578947,786,1768.736842,1161.842105,507.5789474,1347.684211,1664.105263,860.8421053,771.1578947
689.4210526,239.1578947,1094,1733.736842,1237.842105,428.5789474,1408.684211,1862.105263,1005.842105,1259.157895
731.4210526,385.1578947,1134,1974.736842,1445.842105,449.5789474,1508.684211,1846.105263,1256.842105,1239.157895
791.4210526,393.1578947,944,2057.736842,1660.842105,648.5789474,1663.684211,2272.105263,1550.842105,1776.157895
873.4210526,466.1578947,1124,2230.736842,1889.842105,791.5789474,1808.684211,2431.105263,1497.842105,1785.157895
971.4210526,358.1578947,1243,2397.736842,2144.842105,1030.578947,2021.684211,2564.105263,1646.842105,2101.157895
1214.421053,603.1578947,1624,2695.736842,2380.842105,1022.578947,2174.684211,2693.105263,1857.842105,2453.157895
1342.421053,598.1578947,1653,2971.736842,2498.842105,935.5789474,2291.684211,2931.105263,2189.842105,2935.157895
1315.421053,598.1578947,1552,2960.736842,2715.842105,1294.578947,2533.684211,3016.105263,2203.842105,3146.157895
1482.421053,603.1578947,1744,3131.736842,2924.842105,1181.578947,2539.684211,3076.105263,2279.842105,3302.157895
1678.421053,709.1578947,1974,3495.736842,3188.842105,1306.578947,2838.684211,3403.105263,2524.842105,3728.157895
1720.421053,705.1578947,2207,3474.736842,3504.842105,1450.578947,2874.684211,3675.105263,2744.842105,3919.157895
1754.421053,641.1578947,2155,3649.736842,3470.842105,1594.578947,2929.684211,3582.105263,2699.842105,4154.157895
1714.421053,674.1578947,2383,3764.736842,3690.842105,1644.578947,3054.684211,3732.105263,3043.842105,4367.157895
1977.421053,820.1578947,2597,3824.736842,3877.842105,1796.578947,3195.684211,3911.105263,3082.842105,4614.157895
2064.421053,825.1578947,2687,4210.736842,4059.842105,1920.578947,3170.684211,3962.105263,3058.842105,4759.157895
2029.421053,764.1578947,2951,4183.736842,4111.842105,1993.578947,3276.684211,4106.105263,3174.842105,5038.157895
2286.421053,853.1578947,3146,4404.736842,4336.842105,1976.578947,3335.684211,4215.105263,3303.842105,5299.157895
2505.421053,956.1578947,3188,4479.736842,4578.842105,2093.578947,3359.684211,4309.105263,3272.842105,5300.157895
2427.421053,964.1578947,3326,4775.736842,4539.842105,2259.578947,3482.684211,4396.105263,3420.842105,5542.157895
2637.421053,1027.157895,3151,4863.736842,4820.842105,2251.578947,3594.684211,4462.105263,3493.842105,5843.157895
2889.421053,1129.157895,2973,4928.736842,4919.842105,2323.578947,3525.684211,4572.105263,3587.842105,6076.157895
2871.421053,1136.157895,3316,5098.736842,4979.842105,2524.578947,3641.684211,4584.105263,3596.842105,6023.157895
3086.421053,1178.157895,3200,5367.736842,5091.842105,2518.578947,3797.684211,4786.105263,3826.842105,6377.157895
3195.421053,1206.157895,3255,5447.736842,5252.842105,2552.578947,3806.684211,4814.105263,3894.842105,6813.157895
3288.421053,1321.157895,3160,5483.736842,5279.842105,2630.578947,3777.684211,4810.105263,3805.842105,6487.157895
3347.421053,1358.157895,3319,5955.736842,5438.842105,2728.578947,4016.684211,4997.105263,3969.842105,6826.157895
3475.421053,1352.157895,3408,5903.736842,5506.842105,2794.578947,3978.684211,5005.105263,3931.842105,6734.157895
3559.421053,1372.157895,3490,6025.736842,5654.842105,2942.578947,3977.684211,5088.105263,4014.842105,6951.157895
3832.421053,1479.157895,3451,5962.736842,5843.842105,2953.578947,4050.684211,5087.105263,3972.842105,6956.157895
3917.421053,1486.157895,3556,6238.736842,5869.842105,2962.578947,3976.684211,5111.105263,3956.842105,7000.157895
4103.421053,1514.157895,3651,6356.736842,5954.842105,3128.578947,4094.684211,5235.105263,4108.842105,7188.157895
4051.421053,1463.157895,3836,6682.736842,5812.842105,3383.578947,4406.684211,5294.105263,4318.842105,7497.157895
4182.421053,1692.157895,3788,6781.736842,6065.842105,3207.578947,4266.684211,5377.105263,4273.842105,7405.157895
4500.421053,1715.157895,3806,6654.736842,6263.842105,3179.578947,4176.684211,5336.105263,4246.842105,7406.157895
4439.421053,1728.157895,3949,7029.736842,6196.842105,3234.578947,4346.684211,5571.105263,4301.842105,7708.157895
4560.421053,1768.157895,3980,7055.736842,6316.842105,3393.578947,4352.684211,5473.105263,4422.842105,7716.157895
