CMV(-2),CMV(-2),CMV(-3),CMV(-3),CMV(-4),CMV(-4),CMV(-5),CMV(-5),CMV(-),CMV(-)
-1094.631579,289.3684211,-107.7894737,-11.73684211,67.57894737,324.3157895,-57.47368421,-213.3684211,-291.1052632,-878.4210526
-1082.631579,250.3684211,10.21052632,-93.73684211,-575.4210526,40.31578947,-278.4736842,-79.36842105,-356.1052632,-946.4210526
-1011.631579,165.3684211,-124.7894737,-100.7368421,-591.4210526,-111.6842105,-174.4736842,-79.36842105,-283.1052632,-486.4210526
-769.6315789,259.3684211,-169.7894737,-204.7368421,-530.4210526,-156.6842105,-146.4736842,-117.3684211,-352.1052632,-558.4210526
-767.6315789,188.3684211,-106.7894737,31.26315789,-240.4210526,-170.6842105,-136.4736842,6.631578947,-268.1052632,-509.4210526
-552.6315789,-10.63157895,-161.7894737,-48.73684211,-336.4210526,-208.6842105,-115.4736842,-240.3684211,-317.1052632,-320.4210526
-599.6315789,-51.63157895,-91.78947368,-141.7368421,-313.4210526,-30.68421053,-78.47368421,-198.3684211,-145.1052632,-218.4210526
-467.6315789,176.3684211,-195.7894737,-95.73684211,-165.4210526,-16.68421053,-33.47368421,-66.36842105,-196.1052632,-101.4210526
-641.6315789,82.36842105,123.2105263,-160.7368421,-322.4210526,28.31578947,-141.4736842,16.63157895,-43.10526316,-151.4210526
-167.6315789,21.36842105,-15.78947368,-64.73684211,-248.4210526,-53.68421053,-13.47368421,-111.3684211,-4.105263158,-59.42105263
-381.6315789,167.3684211,41.21052632,15.26315789,-168.4210526,-13.68421053,-67.47368421,2.631578947,-191.1052632,-24.42105263
-332.6315789,-158.6315789,225.2105263,12.26315789,-387.4210526,159.3157895,-60.47368421,67.63157895,88.89473684,-22.42105263
332.3684211,-239.6315789,-274.7894737,-103.7368421,218.5789474,-168.6842105,-97.47368421,-167.3684211,32.89473684,-132.4210526
-321.6315789,-196.6315789,195.2105263,-111.7368421,-250.4210526,115.3157895,-8.473684211,72.63157895,142.8947368,254.5789474
-472.6315789,-206.6315789,344.2105263,-30.73684211,-228.4210526,25.31578947,147.5263158,78.63157895,134.8947368,230.5789474
-398.6315789,-122.6315789,156.2105263,43.26315789,-169.4210526,121.3157895,140.5263158,51.63157895,181.8947368,107.5789474
-476.6315789,-62.63157895,72.21052632,33.26315789,-226.4210526,33.31578947,43.52631579,87.63157895,102.8947368,145.5789474
360.3684211,-17.63157895,-224.7894737,106.2631579,201.5789474,76.31578947,-30.47368421,-68.36842105,5.894736842,217.5789474
250.3684211,-14.63157895,25.21052632,70.26315789,278.5789474,-65.68421053,31.52631579,107.6315789,66.89473684,71.57894737
570.3684211,113.3684211,-243.7894737,86.26315789,467.5789474,-72.68421053,33.52631579,45.63157895,-12.10526316,-139.4210526
730.3684211,94.36842105,-89.78947368,60.26315789,516.5789474,110.3157895,27.52631579,27.63157895,-20.10526316,-46.42105263
972.3684211,85.36842105,-133.7894737,67.26315789,523.5789474,-81.68421053,-14.47368421,112.6315789,-9.105263158,26.57894737
606.3684211,180.3684211,138.2105263,143.2631579,241.5789474,-10.68421053,134.5263158,33.63157895,145.8947368,108.5789474
990.3684211,160.3684211,111.2105263,120.2631579,368.5789474,53.31578947,102.5263158,147.6315789,34.89473684,53.57894737
1781.368421,527.3684211,-179.7894737,102.2631579,924.5789474,-70.68421053,125.5263158,27.63157895,-2.105263158,-26.42105263
2108.368421,568.3684211,-200.7894737,36.26315789,1016.578947,16.31578947,43.52631579,98.63157895,-41.10526316,-106.4210526
1815.368421,538.3684211,-227.7894737,192.2631579,948.5789474,-112.6842105,133.5263158,101.6315789,-118.1052632,-42.42105263
2318.368421,379.3684211,-244.7894737,239.2631579,788.5789474,14.31578947,-28.47368421,247.6315789,71.89473684,33.57894737
2989.368421,32.36842105,146.2105263,277.2631579,727.5789474,77.31578947,223.5263158,69.63157895,429.8947368,325.5789474
