CMV(-2),CMV(-2),CMV(-3),CMV(-3),CMV(-4),CMV(-4),CMV(-5),CMV(-5),CMV(-),CMV(-)
-2787.473684,176.2105263,-817.3157895,-294.3157895,-998.7368421,-197.4736842,-119.8421053,159.5789474,-808.5789474,-301.9473684
-1967.473684,4.210526316,-709.3157895,-206.3157895,-112.7368421,-272.4736842,-471.8421053,408.5789474,-425.5789474,-1341.947368
-2447.473684,-185.7894737,-345.3157895,-138.3157895,187.2631579,12.52631579,-276.8421053,379.5789474,-180.5789474,-632.9473684
-1478.473684,-615.7894737,-412.3157895,-18.31578947,-619.7368421,-63.47368421,-95.84210526,201.5789474,90.42105263,-150.9473684
-647.4736842,-577.7894737,-254.3157895,-28.31578947,-8.736842105,-38.47368421,-106.8421053,228.5789474,23.42105263,-44.94736842
-146.4736842,-369.7894737,-341.3157895,25.68421053,127.2631579,6.526315789,-91.84210526,31.57894737,80.42105263,-140.9473684
-264.4736842,-465.7894737,-407.3157895,-200.3157895,-479.7368421,-70.47368421,-97.84210526,9.578947368,155.4210526,-65.94736842
-319.4736842,-385.7894737,-129.3157895,-147.3157895,-561.7368421,-162.4736842,-42.84210526,75.57894737,-71.57894737,-122.9473684
764.5263158,-193.7894737,-256.3157895,-176.3157895,136.2631579,123.5263158,-108.8421053,123.5789474,171.4210526,-53.94736842
450.5263158,-290.7894737,-170.3157895,6.684210526,-143.7368421,-15.47368421,-57.84210526,202.5789474,162.4210526,155.0526316
248.5263158,-102.7894737,3.684210526,71.68421053,53.26315789,-45.47368421,-131.8421053,52.57894737,12.42105263,-22.94736842
2230.526316,105.2105263,-634.3157895,-130.3157895,826.2631579,-14.47368421,-146.8421053,-60.42105263,-320.5789474,-433.9473684
494.5263158,48.21052632,-267.3157895,-2.315789474,532.2631579,53.52631579,70.15789474,96.57894737,-0.578947368,-121.9473684
115.5263158,-329.7894737,-21.31578947,-133.3157895,-148.7368421,-15.47368421,96.15789474,-146.4210526,20.42105263,262.0526316
-430.4736842,173.2105263,-78.31578947,-10.31578947,-340.7368421,-60.47368421,-104.8421053,-20.42105263,-157.5789474,-111.9473684
42.52631579,274.2105263,35.68421053,139.6842105,284.2631579,45.52631579,99.15789474,116.5789474,-60.57894737,77.05263158
-556.4736842,-102.7894737,125.6842105,-60.31578947,-460.7368421,-62.47368421,-135.8421053,-80.42105263,-144.5789474,-134.9473684
-270.4736842,78.21052632,82.68421053,50.68421053,265.2631579,84.52631579,41.15789474,-13.42105263,110.4210526,46.05263158
170.5263158,161.2105263,295.6842105,56.68421053,338.2631579,4.526315789,175.1578947,-139.4210526,10.42105263,149.0526316
-184.4736842,48.21052632,251.6842105,36.68421053,-91.73684211,-16.47368421,68.15789474,-27.42105263,44.42105263,174.0526316
-721.4736842,169.2105263,438.6842105,30.68421053,-449.7368421,2.526315789,96.15789474,-123.4210526,22.42105263,65.05263158
-668.4736842,408.2105263,364.6842105,98.68421053,33.26315789,96.52631579,160.1578947,3.578947368,-43.57894737,45.05263158
-258.4736842,406.2105263,291.6842105,139.6842105,353.2631579,40.52631579,54.15789474,-95.42105263,7.421052632,167.0526316
-696.4736842,369.2105263,415.6842105,203.6842105,-272.7368421,5.526315789,58.15789474,-5.421052632,1.421052632,69.05263158
-318.4736842,343.2105263,310.6842105,-23.31578947,-152.7368421,-13.47368421,123.1578947,59.57894737,-142.5789474,51.05263158
806.5263158,599.2105263,-14.31578947,-39.31578947,323.2631579,19.52631579,39.15789474,-67.42105263,-319.5789474,-216.9473684
495.5263158,574.2105263,199.6842105,161.6842105,648.2631579,132.5263158,142.1578947,-210.4210526,52.42105263,19.05263158
346.5263158,769.2105263,190.6842105,-95.31578947,275.2631579,-71.47368421,34.15789474,-194.4210526,-458.5789474,-70.94736842
233.5263158,671.2105263,310.6842105,112.6842105,504.2631579,81.52631579,120.1578947,-244.4210526,142.4210526,200.0526316
-46.47368421,1105.210526,110.6842105,40.68421053,57.26315789,76.52631579,57.15789474,-165.4210526,-344.5789474,-80.94736842
225.5263158,1169.210526,268.6842105,238.6842105,464.2631579,58.52631579,98.15789474,-144.4210526,-138.5789474,174.0526316
-304.4736842,2106.210526,481.6842105,155.6842105,252.2631579,91.52631579,-39.84210526,-177.4210526,-255.5789474,-19.94736842
-77.47368421,2408.210526,583.6842105,274.6842105,-68.73684211,28.52631579,85.15789474,-131.4210526,80.42105263,311.0526316
-184.4736842,3316.210526,624.6842105,564.6842105,416.2631579,84.52631579,180.1578947,-203.4210526,19.42105263,391.0526316
85.52631579,4384.210526,547.6842105,818.6842105,430.2631579,206.5263158,160.1578947,-23.42105263,-19.57894737,348.0526316
633.5263158,5296.210526,804.6842105,1127.684211,129.2631579,36.52631579,244.1578947,-73.42105263,47.42105263,432.0526316
1351.526316,6621.210526,1055.684211,1756.684211,666.2631579,143.5263158,297.1578947,-46.42105263,93.42105263,430.0526316
1964.526316,7834.210526,1366.684211,2525.684211,311.2631579,217.5263158,272.1578947,154.5789474,338.4210526,624.0526316
3433.526316,8944.210526,1464.684211,3213.684211,516.2631579,288.5263158,242.1578947,208.5789474,21.42105263,467.0526316
4171.526316,10393.21053,2189.684211,4181.684211,847.2631579,379.5263158,351.1578947,160.5789474,172.4210526,494.0526316
5511.526316,11923.21053,2800.684211,5218.684211,1434.263158,363.5263158,313.1578947,149.5789474,251.4210526,530.0526316
7153.526316,12877.21053,3725.684211,6259.684211,1627.263158,629.5263158,589.1578947,474.5789474,363.4210526,740.0526316
8453.526316,14295.21053,4761.684211,7390.684211,2825.263158,757.5263158,605.1578947,699.5789474,248.4210526,600.0526316
