blue,green,newblue,newgreen,cmvdata,cmvdata_2
110.4210526,-830.8947368,-1552.736842,-543.5789474,-1094.631579,-2787.473684
-311.5789474,-864.8947368,-1036.736842,-703.5789474,-1082.631579,-1967.473684
-138.5789474,-898.8947368,-925.7368421,-126.5789474,-1011.631579,-2447.473684
-147.5789474,-648.8947368,-709.7368421,-50.57894737,-769.6315789,-1478.473684
96.42105263,-648.8947368,-282.7368421,-44.57894737,-767.6315789,-647.4736842
24.42105263,-37.89473684,-553.7368421,227.4210526,-552.6315789,-146.4736842
59.42105263,-394.8947368,-579.7368421,33.42105263,-599.6315789,-264.4736842
-15.57894737,-190.8947368,-368.7368421,-4.578947368,-467.6315789,-319.4736842
-13.57894737,-102.8947368,-635.7368421,-35.57894737,-641.6315789,764.5263158
-34.57894737,-80.89473684,-193.7368421,34.42105263,-167.6315789,450.5263158
69.42105263,482.1052632,162.2631579,-25.57894737,-381.6315789,248.5263158
6.421052632,292.1052632,67.26315789,-73.57894737,-332.6315789,2230.526316
-100.5789474,571.1052632,-53.73684211,-1.578947368,332.3684211,494.5263158
-187.5789474,218.1052632,278.2631579,70.42105263,-321.6315789,115.5263158
62.42105263,-287.8947368,-263.7368421,-0.578947368,-472.6315789,-430.4736842
80.42105263,-93.89473684,87.26315789,137.4210526,-398.6315789,42.52631579
27.42105263,-45.89473684,-94.73684211,-97.57894737,-476.6315789,-556.4736842
110.4210526,-55.89473684,185.2631579,85.42105263,360.3684211,-270.4736842
-4.578947368,-212.8947368,-41.73684211,80.42105263,250.3684211,170.5263158
-12.57894737,-18.89473684,213.2631579,105.4210526,570.3684211,-184.4736842
34.42105263,36.10526316,194.2631579,-68.57894737,730.3684211,-721.4736842
18.42105263,159.1052632,375.2631579,-224.5789474,972.3684211,-668.4736842
-84.57894737,6.105263158,781.2631579,-24.57894737,606.3684211,-258.4736842
-39.57894737,-241.8947368,441.2631579,-217.5789474,990.3684211,-696.4736842
-92.57894737,-37.89473684,905.2631579,-27.57894737,1781.368421,-318.4736842
92.42105263,-85.89473684,884.2631579,-17.57894737,2108.368421,806.5263158
-19.57894737,41.10526316,783.2631579,-156.5789474,1815.368421,495.5263158
-45.57894737,284.1052632,831.2631579,-191.5789474,2318.368421,346.5263158
-7.578947368,289.1052632,782.2631579,0.421052632,2989.368421,233.5263158
-98.57894737,616.1052632,570.2631579,-108.5789474,3974.368421,-46.47368421
37.42105263,568.1052632,-150.7368421,22.42105263,5581.368421,225.5263158
32.42105263,723.1052632,412.2631579,80.42105263,7330.368421,-304.4736842
96.42105263,1144.105263,-14.73684211,-81.57894737,9062.368421,-77.47368421
13.42105263,2255.105263,406.2631579,-98.57894737,12220.36842,-184.4736842
-38.57894737,2649.105263,535.2631579,355.4210526,12906.36842,85.52631579
8.421052632,3362.105263,620.2631579,230.4210526,14887.36842,633.5263158
-98.57894737,4272.105263,277.2631579,576.4210526,17748.36842,1351.526316
42.42105263,5504.105263,1144.263158,1318.421053,18950.36842,1964.526316
23.42105263,6831.105263,1251.263158,2540.421053,20170.36842,3433.526316
